iter	Passed	Remaining
455	837	999
456	839	997
457	840	994
458	842	992
459	843	990
460	844	987
461	846	985
462	847	983
463	849	980
464	850	978
465	851	976
466	853	973
467	854	971
468	856	969
469	857	967
470	859	965
471	860	962
472	862	960
473	863	958
474	865	956
475	866	954
476	868	951
477	869	949
478	871	947
479	873	945
480	874	943
481	875	941
482	877	939
483	879	937
484	880	935
485	882	932
486	883	930
487	885	928
488	886	926
489	888	924
490	889	922
491	891	920
492	893	918
493	894	916
494	896	914
495	897	912
496	899	910
497	900	907
498	901	905
499	903	903
500	904	901
501	906	899
502	907	896
503	909	894
504	910	892
505	912	890
506	913	888
507	914	886
508	916	883
509	917	881
510	919	879
511	920	877
512	922	875
513	923	873
514	925	871
515	926	868
516	927	866
517	929	864
518	930	862
519	932	860
520	933	858
521	934	856
522	936	854
523	937	851
524	939	849
525	940	847
526	942	845
527	943	843
528	945	841
529	946	839
530	947	837
531	949	834
532	950	832
533	952	830
534	953	828
535	955	826
536	956	824
537	958	822
538	959	820
539	961	818
540	962	816
541	964	814
542	965	812
543	967	810
544	968	808
545	970	806
546	971	804
547	973	802
548	974	800
549	976	798
550	977	796
551	978	794
552	980	792
553	981	790
554	983	788
555	984	786
556	986	784
557	988	782
558	989	780
559	991	778
560	992	776
561	993	774
562	995	772
563	997	770
564	998	768
565	1000	766
566	1001	764
567	1002	762
568	1004	760
569	1005	758
570	1007	756
571	1009	754
572	1010	753
573	1011	751
574	1013	748
575	1014	747
576	1016	745
577	1017	743
578	1019	740
579	1020	738
580	1022	737
581	1023	735
582	1024	733
583	1026	731
584	1027	729
585	1029	727
586	1030	725
587	1031	723
588	1033	721
589	1034	719
590	1036	717
591	1037	715
592	1039	713
593	1040	711
594	1041	709
595	1043	707
596	1044	705
597	1046	703
598	1047	701
599	1049	699
600	1050	697
601	1052	695
602	1053	693
603	1055	691
604	1056	689
605	1058	687
606	1059	685
607	1060	683
608	1062	681
609	1063	679
610	1065	678
611	1066	676
612	1068	674
613	1069	672
614	1070	670
